"001 AMERICAN UNIV. PARK 2,696 89 2,820 35"
"002 ANACOSTIA 2,109 181 100 2,390"
"003 BARRY FARMS 904 44 1,043 95"
004 BERKLEY 813 7 42 862
"005 BRENTWOOD 997 381 111 1,489"
"006 BRIGHTWOOD 4,419 143 4,658 96"
"007 BROOKLAND 7,903 276 368 8,547"
008 BURLEITH 856 5 861
"009 CAPITOL HILL 4,149 335 4,547 63"
"010 CENTRAL 6,988 1,260 192 8,440"
"011 CHEVY CHASE 5,778 147 5,987 62"
"012 CHILLUM 1,037 67 1,160 56"
"013 CLEVELAND PARK 3,387 42 3,472 43"
014 COLONIAL VILLAGE 648 19 667
"015 COLUMBIA HEIGHTS 11,017 520 11,853 316"
"016 CONGRESS HEIGHTS 5,483 165 244 5,892"
017 CRESTWOOD 819 1 25 845
"018 DEANWOOD 6,980 292 448 7,720"
"019 ECKINGTON 2,473 142 2,656 41"
"020 FOGGY BOTTOM 2,183 144 116 2,443"
"021 FOREST HILLS 3,333 61 3,444 50"
"022 FORT DUPONT PARK 3,615 55 109 3,779"
023 FOXHALL 370 1 1 372
"024 GARFIELD 1,407 53 225 1,685"
"025 GEORGETOWN 4,635 609 191 5,435"
"026 GLOVER PARK 2,638 58 2,726 30"
027 HAWTHORNE 313 1 314
"028 HILLCREST 4,501 99 4,688 88"
"029 KALORAMA 3,768 130 210 4,108"
030 KENT 909 30 21 960
"031 LEDROIT PARK 1,917 32 1,989 40"
"032 LILY PONDS 1,607 55 1,743 81"
"033 MARSHALL HEIGHTS 1,980 18 142 2,140"
034 MASS. AVE. HEIGHTS 192 2 55 249
035 MICHIGAN PARK 941 12 9 962
"036 MOUNT PLEASANT 4,754 216 122 5,092"
037 N. CLEVELAND PARK 881 43 8 932
"038 OBSERVATORY CIRCLE 1,777 39 1,894 78"
"039 OLD CITY I 16,922 913 18,029 194"
"040 OLD CITY II 20,810 1,149 22,327 368"
"041 PALISADES 1,411 54 1,490 25"
"042 PETWORTH 6,688 250 7,003 65"
"043 RANDLE HEIGHTS 3,837 67 190 4,094"
"044 NOMA 933 179 1,132 20"
"046 SW WATERFRONT 3,955 186 4,171 30"
"047 RIGGS PARK 2,863 36 2,929 30"
"048 SHEPHERD PARK 1,001 35 1,050 14"
"049 16TH ST. HEIGHTS 2,375 115 2,563 73"
050 SPRING VALLEY 936 8 36 980
"051 TAKOMA 910 55 1,038 73"
"052 TRINIDAD 3,329 108 3,480 43"
053 WAKEFIELD 969 15 4 988
"054 WESLEY HEIGHTS 3,030 4 3,057 23"
055 WOODLEY 209 1 3 213
"056 WOODRIDGE 3,057 384 3,514 73"
059 RAIL ROAD TRACKS 3 4 7
060 N. ROCK CREEK PARK
061 NATL. ZOO
062 S. ROCK CREEK PARK
063 N. ANACOSTIA PARK 4 10 14
064 S. ANACOSTIA PARK 1 1
065 NATIONAL ARBORETUM
"066 FORT LINCOLN 1,397 9 1,426 20"
067 ST. ELIZABETHS HOSPITAL
068 BOLLING AFB & NAVAL RES 9 20 29
069 D.C. VILLAGE 1 1 2
070 FORT DRIVE
071 GLOVER-ARCHBOLD PWY
072 MALL
073 WASHINGTON NAVY YARD 27 15 42