1,AMERICAN,UNIV.,PARK,,AMERICAN UNIV. PARK 
2,ANACOSTIA,,,,ANACOSTIA   
3,BARRY,FARMS,,,BARRY FARMS  
4,BERKLEY,,,,BERKLEY   
5,BRENTWOOD,,,,BRENTWOOD   
6,BRIGHTWOOD,,,,BRIGHTWOOD   
7,BROOKLAND,,,,BROOKLAND   
8,BURLEITH,,,,BURLEITH   
9,CAPITOL,HILL,,,CAPITOL HILL  
10,CENTRAL,,,,CENTRAL   
11,CHEVY,CHASE,,,CHEVY CHASE  
12,CHILLUM,,,,CHILLUM   
13,CLEVELAND,PARK,,,CLEVELAND PARK  
14,COLONIAL,VILLAGE,,,COLONIAL VILLAGE  
15,COLUMBIA,HEIGHTS,,,COLUMBIA HEIGHTS  
16,CONGRESS,HEIGHTS,,,CONGRESS HEIGHTS  
17,CRESTWOOD,,,,CRESTWOOD   
18,DEANWOOD,,,,DEANWOOD   
19,ECKINGTON,,,,ECKINGTON   
20,FOGGY,BOTTOM,,,FOGGY BOTTOM  
21,FOREST,HILLS,,,FOREST HILLS  
22,FORT,DUPONT,PARK,,FORT DUPONT PARK 
23,FOXHALL,,,,FOXHALL   
24,GARFIELD,,,,GARFIELD   
25,GEORGETOWN,,,,GEORGETOWN   
26,GLOVER,PARK,,,GLOVER PARK  
27,HAWTHORNE,,,,HAWTHORNE   
28,HILLCREST,,,,HILLCREST   
29,KALORAMA,,,,KALORAMA   
30,KENT,,,,KENT   
31,LEDROIT,PARK,,,LEDROIT PARK  
32,LILY,PONDS,,,LILY PONDS  
33,MARSHALL,HEIGHTS,,,MARSHALL HEIGHTS  
34,MASS.,AVE.,HEIGHTS,,MASS. AVE. HEIGHTS 
35,MICHIGAN,PARK,,,MICHIGAN PARK  
36,MOUNT,PLEASANT,,,MOUNT PLEASANT  
37,N.,CLEVELAND,PARK,,N. CLEVELAND PARK 
38,OBSERVATORY,CIRCLE,,,OBSERVATORY CIRCLE  
39,OLD,CITY,I,,OLD CITY I 
40,OLD,CITY,II,,OLD CITY II 
41,PALISADES,,,,PALISADES   
42,PETWORTH,,,,PETWORTH   
43,RANDLE,HEIGHTS,,,RANDLE HEIGHTS  
44,NOMA,,,,NOMA   
46,SW,WATERFRONT,,,SW WATERFRONT  
47,RIGGS,PARK,,,RIGGS PARK  
48,SHEPHERD,PARK,,,SHEPHERD PARK  
49,16TH,ST.,HEIGHTS,,16TH ST. HEIGHTS 
50,SPRING,VALLEY,,,SPRING VALLEY  
51,TAKOMA,,,,TAKOMA   
52,TRINIDAD,,,,TRINIDAD   
53,WAKEFIELD,,,,WAKEFIELD   
54,WESLEY,HEIGHTS,,,WESLEY HEIGHTS  
55,WOODLEY,,,,WOODLEY   
56,WOODRIDGE,,,,WOODRIDGE   
59,RAIL,ROAD,TRACKS,,RAIL ROAD TRACKS 
60,N.,ROCK,CREEK,PARK,N. ROCK CREEK PARK
61,NATL.,ZOO,,,NATL. ZOO  
62,S.,ROCK,CREEK,PARK,S. ROCK CREEK PARK
63,N.,ANACOSTIA,PARK,,N. ANACOSTIA PARK 
64,S.,ANACOSTIA,PARK,,S. ANACOSTIA PARK 
65,NATIONAL,ARBORETUM,,,NATIONAL ARBORETUM  
66,FORT,LINCOLN,,,FORT LINCOLN  
67,ST.,ELIZABETHS,HOSPITAL,,ST. ELIZABETHS HOSPITAL 
68,BOLLING,AFB,&,NAVAL,BOLLING AFB & NAVAL
69,D.C.,VILLAGE,,,D.C. VILLAGE  
70,FORT,DRIVE,,,FORT DRIVE  
71,GLOVER-ARCHBOLD,PWY,,,GLOVER-ARCHBOLD PWY  
72,MALL,,,,MALL   
73,WASHINGTON,NAVY,YARD,,WASHINGTON NAVY YARD 